promise_id,promise_text,source,text
P153,"The Congress Party is committed to the welfare of all citizens and groups, including minorities, as per the Constitution of India. Accordingly, the allocation of funds for the minority welfare — Muslim, Christian, Jain, Buddhists and others, would be increased to Rs. 10,000 Cr",news,"Citizens and the State: Policing, Impunity, and the Rule of Law in India - The Hindu Centre for Politics and Public Policy"
P156,To provide Self-employment grants for taking up small business to all Gender Minorities upto Rs.2 lakhs.,news,A Decade of Growth with PM Mudra Yojana - पीआईबी
P156,To provide Self-employment grants for taking up small business to all Gender Minorities upto Rs.2 lakhs.,news,List of Women Empowerment Schemes in India 2026 - ClearTax
P158,Recruitment of additional Pourakarmikas.,news,Appointment letters handed over to pourakarmikas in Mysuru city - The Hindu
P158,Recruitment of additional Pourakarmikas.,news,Karnataka govt to grant permanent employment for civic workers on May 1 - The News Minute
P158,Recruitment of additional Pourakarmikas.,news,Pourakarmika services to be regularised from May 1 - The Times of India
P158,Recruitment of additional Pourakarmikas.,news,Karnataka CM Siddaramaiah announces regularisation of jobs for pourakarmikas - The South First
P158,Recruitment of additional Pourakarmikas.,news,Jobs of 12K pourakarmikas to be regularised on May 1: CM Siddaramaiah - Deccan Herald
P159,To offer Hazardous pay and insurance cover of Rs. 10 Lakh to each,news,"Karnataka passes bill to provide social security for gig workers, mandates welfare fee on aggregators - The New Indian Express"
P159,To offer Hazardous pay and insurance cover of Rs. 10 Lakh to each,news,These workers will get gratuity after 1 year instead of 5 years; more benefits for other workers under new - The Economic Times
P159,To offer Hazardous pay and insurance cover of Rs. 10 Lakh to each,news,UPSC Mains Current Affairs for 27 October 2025 - Vajiram & Ravi
P159,To offer Hazardous pay and insurance cover of Rs. 10 Lakh to each,news,8 ways employees will benefit from the implementation of new Labour Codes - The Economic Times
P159,To offer Hazardous pay and insurance cover of Rs. 10 Lakh to each,news,How Healthy is Health Insurance? - The India Forum
P164,To offer free Pilgrimage to one of the 15 holy places of Karnataka and one of the 10 holy places of India once in two years.,news,Beyond Mumbai & Goa: How India’s tourism map is quietly changing - The Times of India
P164,To offer free Pilgrimage to one of the 15 holy places of Karnataka and one of the 10 holy places of India once in two years.,news,Devotees throng temples in coastal districts of Karnataka for Mahashivaratri - The Times of India
P164,To offer free Pilgrimage to one of the 15 holy places of Karnataka and one of the 10 holy places of India once in two years.,news,"List of Indian States, Union Territories and Capitals In India Map - Maps of India"
P164,To offer free Pilgrimage to one of the 15 holy places of Karnataka and one of the 10 holy places of India once in two years.,news,"Mahakumbh 2025: A Spectacle of Faith, Unity, and Tradition - पीआईबी"
P164,To offer free Pilgrimage to one of the 15 holy places of Karnataka and one of the 10 holy places of India once in two years.,news,The BJP in Power: Indian Democracy and Religious Nationalism - Carnegie Endowment for International Peace
P165,"To increase the one-time subsidy provided to senior citizens from Karnataka for pilgrimages to Kashi, Mathura and Kailash Mansarovar Yatra. ",news,"How state govts sponsor pilgrims to Haridwar, Ajmer or Jerusalem - The Indian Express"
P166,To provide Rs.3 lakhs interest free loan to take up self-employment to the diabled women.,news,Press Note Details: Press Information Bureau - पीआईबी
P166,To provide Rs.3 lakhs interest free loan to take up self-employment to the diabled women.,news,Get Up to ₹1.5 Lakh Loan Subsidy from Govt If You Are Woman Entrepreneur in Karnataka: Explained - Trade Brains
P166,To provide Rs.3 lakhs interest free loan to take up self-employment to the diabled women.,news,Canara Bank Personal Loan Interest Rate 2025 - ClearTax
P166,To provide Rs.3 lakhs interest free loan to take up self-employment to the diabled women.,news,How to fill Pradhan Mantri Awas Yojana form online and offline? - housing.com
P166,To provide Rs.3 lakhs interest free loan to take up self-employment to the diabled women.,news,"In poll-bound Bihar, Nitish Kumar increases pension to ₹1,100 per month from ₹400 - The Hindu"
P168,To provide free bus pass and to one accompanying person.,news,Free travel scheme for differently-abled persons to be launched in A.P. on March 18 - The Hindu
P168,To provide free bus pass and to one accompanying person.,news,CM to launch ‘Divyang Shakti’ scheme today - The Hans India
P168,To provide free bus pass and to one accompanying person.,news,The Government of India is not launching a free travel scheme for senior citizens from 15 June 2025 - FACTLY
P168,To provide free bus pass and to one accompanying person.,news,Mind the Gap: How free bus rides are changing the lives of women | Hindustan Times - Hindustan Times
P168,To provide free bus pass and to one accompanying person.,news,Buy ‘Made in UP’ e-buses: CM Yogi to transport dept brass - The Times of India
P169,"To Set up Karnataka Institute of Speech and Hearing, similar to the All India Institute of Speech and Hearing in all revenue divisions of Karnataka. ",news,Budget 2026 disappoints Kerala; 16th Finance Commission raises State’s tax share - The Hindu
