promise_id,promise_text,category,evidence_googlenews,news_sources
A24,"To amend Karnataka Apartment Ownership Act, 1972 to provide for conveyance of property and land to group of owners.",Urban Development,"['Karnataka’s new Apartment Ownership Act nearly ready: What you need to know | Real Estate News - Hindustan Times. Karnataka’s new Apartment Ownership Act nearly ready: What you need to know | Real Estate News&nbsp;&nbsp;Hindustan Times', 'Bengaluru homebuyers urge Karnataka government to ensure title transfer under new apartment law | Real Estate News - Hindustan Times. Bengaluru homebuyers urge Karnataka government to ensure title transfer under new apartment law | Real Estate News&nbsp;&nbsp;Hindustan Times', 'Apartment regulation laws in Karnataka: Why we need urgent reforms - The News Minute. Apartment regulation laws in Karnataka: Why we need urgent reforms&nbsp;&nbsp;The News Minute', 'MC Explains: Do Karnataka homebuyers really own the land their apartment is built on? - Moneycontrol.com. MC Explains: Do Karnataka homebuyers really own the land their apartment is built on?&nbsp;&nbsp;Moneycontrol.com', 'Karnataka government moves to roll out Apartment Bill 2025: All you need to know | Real Estate News - Hindustan Times. Karnataka government moves to roll out Apartment Bill 2025: All you need to know | Real Estate News&nbsp;&nbsp;Hindustan Times', 'Apartment Bill 2025: Bengaluru Homebuyers Demand Land Title and Association Rights - Realty Today. Apartment Bill 2025: Bengaluru Homebuyers Demand Land Title and Association Rights&nbsp;&nbsp;Realty Today', 'Uncertainty set to end? Draft of new apartment law in Karnataka nearly ready - The Times of India. Uncertainty set to end? Draft of new apartment law in Karnataka nearly ready&nbsp;&nbsp;The Times of India', 'Bengaluru Apartment Owners Fight for Fair Laws and Lower Trash Fees - Realty Today. Bengaluru Apartment Owners Fight for Fair Laws and Lower Trash Fees&nbsp;&nbsp;Realty Today', 'Bengaluru homebuyers meet state govt, demand deemed conveyance provisions - Moneycontrol.com. Bengaluru homebuyers meet state govt, demand deemed conveyance provisions&nbsp;&nbsp;Moneycontrol.com', 'MC Exclusive: Karnataka clears confusion over registering resident welfare associations in Bengaluru - Moneycontrol.com. MC Exclusive: Karnataka clears confusion over registering resident welfare associations in Bengaluru&nbsp;&nbsp;Moneycontrol.com']","['Hindustan Times', 'Hindustan Times', 'The News Minute', 'Moneycontrol.com', 'Hindustan Times', 'Realty Today', 'The Times of India', 'Realty Today', 'Moneycontrol.com', 'Moneycontrol.com']"
A25,To frame rules to double the FAR for buildings in II tier cities to enterprises which generate employment.,Urban Development,[],[]
A26,"Krishi Sarvodaya Nidhi - To allocate Rs. 1.50 lakh crores in five years for modernization of agriculture, subsidy, loan and insurance.",Agriculture and farming,[],[]
A27,"Committed to AICC session held at Raipur the congress party would implement guarantees of MSP based on the report of Agricultural price fixation commission, in consultation with the farmers representatives to the Agricultural and Horticultural produce",Agriculture and farming,[],[]
A28,To increase interest free soft loans to the farmers from Rs. 3 lakhs to 10 lakhs and with minimum interest of 3% upto Rs. 15 lakhs and to reimburse the differential interest by Government.,Agriculture and farming,['Examining the BJP and Congress manifestos in Karnataka: A comparative look - The Indian Express. Examining the BJP and Congress manifestos in Karnataka: A comparative look&nbsp;&nbsp;The Indian Express'],['The Indian Express']
A29,To promote Agro based village industries run by rural women by investing Rs.200 crores.,Agriculture and farming,"['Overview of Karnataka Budget 2023-24 - NammaKPSC. Overview of Karnataka Budget 2023-24&nbsp;&nbsp;NammaKPSC', 'Karnataka Budget 2025: Key takeaways - Deccan Herald. Karnataka Budget 2025: Key takeaways&nbsp;&nbsp;Deccan Herald']","['NammaKPSC', 'Deccan Herald']"
A30,To repeal the anti farmer laws enacted by BJP Government and to withdraw all politically motivated cases against farmers.,Agriculture and farming,"['Karnataka farmers’ organisation demands State to clarify its stance on withdrawing amendments to farm-related laws introduced by BJP - The Hindu. Karnataka farmers’ organisation demands State to clarify its stance on withdrawing amendments to farm-related laws introduced by BJP&nbsp;&nbsp;The Hindu', 'Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP - The Hindu. Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP&nbsp;&nbsp;The Hindu', 'Congress not walking the talk on repealing Karnataka anti-cow slaughter law - Frontline Magazine. Congress not walking the talk on repealing Karnataka anti-cow slaughter law&nbsp;&nbsp;Frontline Magazine', 'Karnataka: Why the Congress plan to reverse BJP’s cow slaughter ban is controversial - The Indian Express. Karnataka: Why the Congress plan to reverse BJP’s cow slaughter ban is controversial&nbsp;&nbsp;The Indian Express', 'Karnataka govt tables bill to repeal amendments to APMC Act - The Times of India. Karnataka govt tables bill to repeal amendments to APMC Act&nbsp;&nbsp;The Times of India', 'Karnataka: Congress releases manifesto, promises action against Bajrang Dal, PFI - Deccan Chronicle. Karnataka: Congress releases manifesto, promises action against Bajrang Dal, PFI&nbsp;&nbsp;Deccan Chronicle', 'Karnataka’s Siddaramaiah govt and the illusions of social justice in a fascist era - The News Minute. Karnataka’s Siddaramaiah govt and the illusions of social justice in a fascist era&nbsp;&nbsp;The News Minute']","['The Hindu', 'The Hindu', 'Frontline Magazine', 'The Indian Express', 'The Times of India', 'Deccan Chronicle', 'The News Minute']"
A31,Savayava Saradaara Yojane to promote Organic farming investing Rs.2500 crores in five years.,Agriculture and farming,[],[]
A32,"Anew development board ""Negila Tuditha"" with seed money of Rs.500 crores. to focus on landless agricultural labourers and tenant farmers.",Agriculture and farming,[],[]
A33,Jala Chethana Andolana - 100% subsidy to drip and sprinkler irrigation,Agriculture and farming,[],[]
A34,To reintroduce subsidy for installation of solar pump-sets with 75% of the cost as subsidy.,Agriculture and farming,[],[]
A35,To form self-help group for rural agriculturist women and provide Rs.3 lakhs interest free revolving loan.,Agriculture and farming,['Overview of Karnataka Budget 2023-24 - NammaKPSC. Overview of Karnataka Budget 2023-24&nbsp;&nbsp;NammaKPSC'],['NammaKPSC']
A36,To create Prakruthi Vikopa Nidhi - a permanent fund - by creating an initial corpus fund of Rs.5000 crores.,Agriculture and farming,[],[]
A37,To offer reasonable compensation during drought and famine situations for the loss of agricultural produce. To postpone the recovery of distressed loans and waive complete interest,Agriculture and farming,[],[]
A38,To provide possession certificates to the famers of Malnad.,Agriculture and farming,['Karnataka BJP MLA seeks gun licenses for Malnad residents to curb rising robberies - The Hans India. Karnataka BJP MLA seeks gun licenses for Malnad residents to curb rising robberies&nbsp;&nbsp;The Hans India'],['The Hans India']
